,Monthly hours worked in all jobs ;  Persons ;,Monthly hours worked in all jobs ;  Persons ;,Monthly hours worked in all jobs ;  > Males ;,Monthly hours worked in all jobs ;  > Males ;,Monthly hours worked in all jobs ;  > Females ;,Monthly hours worked in all jobs ;  > Females ;,> Monthly hours worked in all jobs (employed full-time) ;  Persons ;,> Monthly hours worked in all jobs (employed full-time) ;  Persons ;,> Monthly hours worked in all jobs (employed full-time) ;  > Males ;,> Monthly hours worked in all jobs (employed full-time) ;  > Males ;,> Monthly hours worked in all jobs (employed full-time) ;  > Females ;,> Monthly hours worked in all jobs (employed full-time) ;  > Females ;,> Monthly hours worked in all jobs (employed part-time) ;  Persons ;,> Monthly hours worked in all jobs (employed part-time) ;  Persons ;,> Monthly hours worked in all jobs (employed part-time) ;  > Males ;,> Monthly hours worked in all jobs (employed part-time) ;  > Males ;,> Monthly hours worked in all jobs (employed part-time) ;  > Females ;,> Monthly hours worked in all jobs (employed part-time) ;  > Females ;,Monthly hours worked in all jobs ;  > New South Wales ;,Monthly hours worked in all jobs ;  > New South Wales ;,Monthly hours worked in all jobs ;  > Victoria ;,Monthly hours worked in all jobs ;  > Victoria ;,Monthly hours worked in all jobs ;  > Queensland ;,Monthly hours worked in all jobs ;  > Queensland ;,Monthly hours worked in all jobs ;  > South Australia ;,Monthly hours worked in all jobs ;  > South Australia ;,Monthly hours worked in all jobs ;  > Western Australia ;,Monthly hours worked in all jobs ;  > Western Australia ;,Monthly hours worked in all jobs ;  > Tasmania ;,Monthly hours worked in all jobs ;  > Tasmania ;,Monthly hours worked in all jobs ;  > Northern Territory ;,Monthly hours worked in all jobs ;  > Australian Capital Territory ;
Feb-1997,1238424.9,1240805.9,795879.1,795927.4,442545.8,444878.4,1099062.8,1099888.1,760411.4,760321.6,338651.4,339566.6,139362.1,140917.7,35467.7,35605.8,103894.4,105311.9,417964.4,418504.5,309488.9,309621.0,226982.9,229187.6,93205.3,92752.0,127225.3,126934.9,27676.1,27997.1,13220.2,22314.5
Mar-1997,1239695.4,1240946.3,796811.7,798245.5,442883.7,442700.8,1099818.5,1101139.9,761195.8,762834.6,338622.7,338305.3,139876.9,139806.4,35615.9,35410.8,104261.0,104395.5,417928.2,419190.4,309268.3,309565.1,227179.8,227549.1,93605.2,94108.3,127302.8,127201.0,27480.3,27483.8,13368.6,22382.2
Apr-1997,1240094.3,1242759.6,797288.5,798240.1,442805.8,444519.5,1099896.0,1101978.0,761552.2,762398.4,338343.9,339579.6,140198.3,140781.6,35736.4,35841.8,104461.9,104939.9,417652.9,416763.3,308894.2,317185.8,227274.8,224583.9,94019.9,93484.3,127314.4,127845.1,27304.7,26984.8,13480.2,22416.4
May-1997,1239590.0,1237274.0,797211.9,796192.6,442378.1,441081.4,1099199.4,1097525.6,761400.4,760281.5,337799.0,337244.1,140390.6,139748.3,35811.5,35911.0,104579.1,103837.3,417166.2,417309.1,308564.6,307931.3,227378.8,227461.4,94362.6,94503.0,127355.7,126328.3,27178.3,27661.7,13509.9,22418.5
Jun-1997,1238708.2,1241193.4,796804.3,800228.6,441904.0,440964.9,1098134.2,1101084.2,760936.3,764358.7,337198.0,336725.4,140574.0,140109.2,35868.0,35869.8,104706.0,104239.4,416593.5,417917.0,308377.2,310200.4,227623.5,226117.6,94585.0,95895.9,127454.2,127853.0,27135.7,27158.5,13483.3,22420.5
Jul-1997,1238507.3,1236007.1,796723.0,793214.8,441784.4,442792.3,1097607.6,1094341.1,760752.5,757240.1,336855.0,337101.0,140899.8,141666.0,35970.4,35974.7,104929.3,105691.4,416355.8,415138.1,308344.9,308007.2,228184.6,227936.5,94662.6,95096.6,127616.9,127644.9,27173.9,26410.6,13471.6,22448.3
Aug-1997,1239681.3,1236016.5,797529.3,795664.3,442151.9,440352.1,1098257.4,1095350.6,761377.4,759641.3,336879.9,335709.3,141423.9,140665.9,36151.9,36023.1,105272.0,104642.8,416605.6,414286.7,308618.3,307525.9,229012.7,230124.8,94639.6,93582.5,127776.0,127511.4,27265.4,27257.0,13553.8,22510.8
Sep-1997,1242126.5,1243308.2,799290.5,799863.9,442836.0,443444.4,1100059.0,1101863.4,762883.1,764214.7,337175.9,337648.8,142067.6,141444.8,36407.5,35649.2,105660.1,105795.6,417182.9,419159.4,309214.0,310362.8,230027.5,229446.9,94568.7,92582.0,127873.7,128752.1,27372.2,27287.5,13756.4,22611.4
Oct-1997,1245147.6,1243799.8,801580.2,799808.1,443567.4,443991.7,1102466.8,1100485.8,764888.9,762814.1,337578.0,337671.7,142680.7,143314.0,36691.3,36994.0,105989.4,106320.0,417752.3,415732.0,310108.4,309510.9,231035.0,231620.5,94453.3,94822.2,127902.8,127739.7,27440.2,27750.2,14025.4,22727.5
Nov-1997,1248006.9,1250459.3,803822.8,805352.8,444184.2,445106.5,1104898.2,1107458.6,766892.5,768538.7,338005.8,338919.8,143108.7,143000.7,36930.3,36814.0,106178.4,106186.6,418150.6,420587.4,311171.8,310016.2,231952.2,231274.8,94307.1,96092.8,127824.7,127580.1,27474.9,27465.4,14282.6,22827.2
Dec-1997,1250097.6,1252481.3,805433.6,808056.9,444664.0,444424.5,1106776.6,1108704.2,768372.2,770517.3,338404.4,338187.0,143321.0,143777.1,37061.4,37539.6,106259.6,106237.5,418340.9,419355.9,312173.8,312377.1,232624.8,233562.3,94160.3,94186.1,127692.1,127994.2,27490.5,27424.6,14440.8,22891.6
Jan-1998,1251390.0,1251416.4,806150.0,806069.4,445240.0,445347.0,1107938.8,1107513.3,769056.0,768902.3,338882.8,338610.9,143451.2,143903.1,37094.0,37167.0,106357.2,106736.1,418406.7,417730.5,312895.9,315063.6,233062.4,231639.8,93973.3,94218.5,127637.4,127659.3,27504.1,27514.6,14427.6,22925.0
Feb-1998,1252119.3,1249636.5,806044.5,805306.0,446074.8,444330.5,1108497.7,1107437.3,768982.3,768358.7,339515.5,339078.6,143621.6,142199.1,37062.2,36947.3,106559.4,105251.9,418640.1,416270.0,313112.8,312622.3,233250.2,235029.5,93736.7,93263.4,127693.3,127706.7,27543.6,27404.4,14262.7,22944.1
Mar-1998,1252760.2,1249860.1,805527.8,804090.1,447232.4,445770.0,1108828.9,1106997.0,768515.7,767431.0,340313.2,339566.1,143931.2,142863.1,37012.1,36659.2,106919.2,106203.9,419344.2,419359.9,312921.7,313083.6,233188.8,232740.1,93503.4,93285.1,127955.7,127526.6,27613.9,27449.5,14046.3,22958.9
Apr-1998,1253344.3,1254248.5,804727.3,804833.6,448617.0,449414.9,1108920.5,1111482.4,767718.0,769188.9,341202.5,342293.6,144423.8,142766.1,37009.3,35644.7,107414.4,107121.3,420347.2,421550.6,312617.2,312458.3,232954.5,233446.8,93347.7,94029.6,128412.9,127863.9,27695.0,27999.8,13883.3,22963.5
May-1998,1253807.5,1250596.9,803857.0,803214.1,449950.4,447382.8,1108805.5,1104158.2,766780.3,765488.1,342025.2,338670.0,145001.9,146438.7,37076.8,37725.9,107925.2,108712.8,421448.7,420606.7,312348.6,311492.1,232668.0,231224.2,93223.7,93015.8,128969.1,129897.3,27754.3,27635.4,13838.4,22955.5
Jun-1998,1254296.4,1257106.4,803332.8,805334.5,450963.6,451771.9,1108758.1,1111089.3,766125.9,767837.1,342632.3,343252.2,145538.2,146017.2,37206.9,37497.5,108331.3,108519.7,422424.6,423668.4,312316.5,312451.0,232489.4,233963.2,93099.7,92790.6,129565.2,129678.9,27755.2,27896.6,13919.6,22923.4
Jul-1998,1254910.7,1254761.0,803303.0,803049.7,451607.7,451711.2,1108911.2,1108988.2,765879.6,766026.8,343031.6,342961.3,145999.4,145772.8,37423.4,37022.9,108576.1,108749.9,423157.8,424177.8,312418.9,310835.1,232555.6,231151.5,93003.9,93183.3,130107.5,129696.3,27697.3,27681.3,14069.7,22856.9
Aug-1998,1255697.9,1251296.8,803750.6,799593.6,451947.2,451703.2,1109358.4,1106609.3,766028.2,763575.3,343330.3,343034.0,146339.4,144687.4,37722.5,36018.3,108617.0,108669.2,423694.2,413794.3,312355.4,314585.4,232994.5,233791.4,92947.6,93196.4,130484.9,131384.6,27591.9,27523.9,14212.3,22781.2
Sep-1998,1256659.5,1253967.3,804529.2,802855.5,452130.3,451111.8,1110074.2,1107857.3,766449.8,764648.4,343624.4,343209.0,146585.4,146110.0,38079.4,38207.1,108505.9,107902.9,424095.7,421506.5,311996.2,313544.1,233806.8,230049.1,92981.6,94674.5,130597.5,129811.3,27454.9,27511.5,14292.6,22721.7
Oct-1998,1257929.2,1261292.7,805548.8,808350.2,452380.4,452942.5,1111073.2,1114345.3,767089.8,770216.9,343983.4,344128.4,146856.0,146947.4,38459.0,38133.3,108397.0,108814.1,424408.1,427866.7,311622.2,309889.4,234759.2,233950.7,93172.8,92426.0,130456.4,132627.8,27319.1,27304.8,14317.8,22694.6
Nov-1998,1259665.1,1261897.6,806961.0,809914.1,452704.1,451983.4,1112420.8,1114397.7,768132.8,770759.2,344288.0,343638.5,147244.4,147499.9,38828.2,39154.9,108416.2,108345.0,424677.8,423102.8,311576.2,312473.6,235666.2,237657.0,93526.0,93631.6,130187.8,131045.6,27196.9,27142.9,14298.0,22715.2
Dec-1998,1261744.6,1261596.9,808715.3,807041.6,453029.3,454555.3,1114004.8,1113397.0,769579.8,767452.2,344425.0,345944.8,147739.8,148199.9,39135.5,39589.4,108604.2,108610.5,425107.3,427689.1,312000.2,309190.6,236360.3,236136.4,93984.0,94212.9,129899.0,129750.5,27087.6,27165.4,14262.0,22768.6
Jan-1999,1264042.2,1257687.2,810793.8,805660.2,453248.4,452026.9,1115773.9,1110465.8,771421.3,766489.5,344352.6,343976.3,148268.3,147221.4,39372.5,39170.7,108895.8,108050.7,425852.7,421907.8,312792.0,311742.7,236734.6,238601.9,94481.1,93939.0,129685.9,128438.2,27005.8,26100.7,14257.7,22828.9
Feb-1999,1266339.4,1265340.9,813023.9,811287.4,453315.5,454053.6,1117539.1,1116626.5,773438.7,772205.2,344100.4,344421.3,148800.3,148714.4,39585.2,39082.1,109215.2,109632.3,426746.6,425373.9,313660.9,315340.6,236814.8,235741.9,94852.9,95385.4,129653.8,128795.4,26960.3,26903.7,14283.4,22876.9
Mar-1999,1268502.8,1272685.7,815191.1,818741.4,453311.7,453944.3,1119229.2,1122802.5,775396.5,778810.6,343832.7,343991.9,149273.6,149883.2,39794.6,39930.8,109479.0,109952.4,427777.8,428245.2,314360.7,317495.8,236908.6,236525.1,94985.5,95300.4,129830.0,130590.1,26980.9,27138.6,14313.0,22920.5
Apr-1999,1270375.7,1272805.6,817011.9,820600.8,453363.8,452204.8,1120774.3,1122972.5,777065.5,780590.6,343708.8,342381.9,149601.4,149833.0,39946.4,40010.1,109655.0,109822.9,428862.1,430812.0,314656.4,314844.7,237206.6,236905.8,94855.7,95119.8,130144.3,131202.2,27075.6,26865.6,14336.0,22982.3
May-1999,1272238.0,1271175.2,818522.7,816149.7,453715.3,455025.5,1122508.3,1121361.3,778544.8,776237.1,343963.4,345124.2,149729.7,149813.9,39977.9,39912.6,109751.8,109901.3,430095.6,431635.0,314678.5,312235.5,237807.0,237818.6,94560.0,94545.0,130594.5,130070.6,27225.2,27156.6,14352.0,23078.9
Jun-1999,1274407.2,1264754.2,819816.8,811452.7,454590.4,453301.4,1124721.7,1114630.2,779951.3,770629.9,344770.3,344000.3,149685.5,150124.0,39865.4,40822.8,109820.1,109301.2,431484.9,427076.3,314710.1,310760.6,238664.7,237474.8,94271.5,94200.2,131121.1,131360.8,27405.7,26811.2,14360.7,23217.2
Jul-1999,1277634.9,1274926.7,821388.5,819953.2,456246.3,454973.5,1128007.5,1126250.5,781772.4,779985.3,346235.1,346265.2,149627.4,148676.2,39616.2,39967.8,110011.2,108708.4,433344.3,430619.8,314985.3,315253.0,239560.4,240969.7,94165.8,93330.8,131671.1,129617.3,27590.8,27727.4,14377.0,23387.6
Aug-1999,1282505.0,1287639.2,823794.0,827764.6,458711.0,459874.6,1132705.8,1136448.0,784423.9,788848.9,348281.9,347599.1,149799.2,151191.3,39370.1,38915.7,110429.1,112275.6,435815.2,436866.6,315816.5,316686.3,240357.3,241254.2,94344.0,94662.5,132233.0,131961.8,27763.3,27957.4,14401.4,23561.9
Sep-1999,1288721.6,1285649.4,826937.8,826673.0,461783.8,458976.5,1138280.6,1135841.6,787610.4,787799.0,350670.2,348042.5,150441.0,149807.9,39327.5,38874.0,111113.5,110933.9,438784.3,436668.2,316977.1,316144.1,240928.9,240103.1,94763.1,94256.5,132797.9,132608.3,27917.1,27720.2,14405.5,23708.5
Oct-1999,1294981.6,1299938.5,830023.4,834042.2,464958.2,465896.2,1143475.2,1149059.8,790451.1,794707.5,353024.1,354352.3,151506.5,150878.7,39572.3,39334.7,111934.1,111544.0,441762.5,445055.7,318114.8,318090.4,241333.9,240741.8,95271.6,95450.8,133353.9,134308.2,28042.2,27919.5,14378.2,23840.4
Nov-1999,1299747.2,1300206.1,832053.1,830096.3,467694.1,470109.9,1147009.5,1145534.5,791995.8,790169.7,355013.7,355364.8,152737.7,154671.6,40057.3,39926.6,112680.4,114745.0,444099.8,442906.8,318879.6,318482.6,241546.6,242491.2,95741.5,96151.9,133830.7,133657.7,28136.0,28210.6,14329.6,23965.1
Dec-1999,1302441.4,1307816.5,832795.3,836218.1,469646.1,471598.4,1148556.8,1153336.3,792109.0,795604.4,356447.9,357731.9,153884.6,154480.1,40686.4,40613.7,113198.2,113866.5,445339.0,447885.5,319154.1,321977.3,241644.1,241121.0,96032.6,96695.6,134200.2,133564.7,28208.8,28283.5,14271.3,24085.1
Jan-2000,1303307.8,1324371.0,832535.0,846501.3,470772.8,477869.7,1148566.9,1168317.1,791246.0,804027.3,357320.9,364289.9,154740.9,156053.9,41289.1,42474.1,113451.9,113579.8,445677.1,459161.0,319045.6,321080.7,241831.7,246821.8,96142.8,95671.3,134450.6,134446.9,28258.0,28345.7,14216.9,24214.9
Feb-2000,1303479.1,1298481.1,831918.7,829103.1,471560.4,469378.0,1148184.9,1142424.4,790187.8,787138.5,357997.1,355286.0,155294.2,156056.6,41730.9,41964.6,113563.3,114092.0,445809.8,443376.7,318741.6,316623.4,242299.4,241682.6,96157.6,95902.9,134571.8,135082.5,28283.2,27497.3,14202.1,24370.8
Mar-2000,1303749.4,1299877.4,831370.7,828322.8,472378.8,471554.7,1148080.5,1145555.7,789374.1,786918.2,358706.3,358637.6,155669.0,154321.7,41996.5,41404.6,113672.4,112917.1,446402.3,446788.1,318619.8,314037.5,243052.2,239913.1,96223.8,96591.5,134601.1,135048.9,28271.6,28148.7,14244.5,24547.6
Apr-2000,1304666.4,1296825.2,831125.9,824954.8,473540.5,471870.4,1148550.5,1141686.5,788968.7,782734.5,359581.8,358952.1,156115.8,155138.7,42157.2,42220.3,113958.7,112918.4,447687.9,442628.4,319031.3,316291.7,244058.9,242468.7,96448.4,94429.0,134571.0,133972.2,28223.5,28268.4,14314.2,24732.6
May-2000,1306326.6,1310611.9,831218.6,835290.5,475108.0,475321.4,1149604.6,1153400.9,788938.1,792748.6,360666.5,360652.3,156722.0,157211.0,42280.5,42541.9,114441.5,114669.1,449523.4,448190.7,319977.6,319584.3,245154.2,245871.6,96871.3,95861.1,134488.0,134265.2,28133.5,28197.0,14390.3,24908.9
Jun-2000,1308318.3,1334500.3,831438.5,849401.0,476879.8,485099.3,1150893.3,1177918.7,789014.4,808066.6,361878.8,369852.1,157425.1,156581.6,42424.1,41334.4,115001.0,115247.2,451180.2,457161.9,321268.2,328056.3,245910.6,247404.1,97387.8,98009.0,134323.0,134444.1,28006.4,29213.7,14434.5,25053.0
Jul-2000,1309904.9,1337155.6,831415.2,846125.4,478489.7,491030.3,1151913.9,1178182.2,788849.9,803269.2,363064.0,374913.0,157991.0,158973.4,42565.3,42856.2,115425.7,116117.3,451828.9,453652.0,322565.6,329368.8,245999.9,252822.4,97822.9,97650.7,134158.2,136071.9,27858.6,27945.5,14416.1,25128.4
Aug-2000,1310237.3,1322377.7,830697.1,837470.7,479540.2,484907.0,1151962.2,1163952.1,788042.0,794707.1,363920.2,369245.1,158275.1,158425.6,42655.1,42763.6,115619.9,115662.0,450853.3,452020.1,323524.2,325065.9,245462.1,245573.3,98015.8,98566.4,134021.0,134121.8,27719.0,27541.5,14325.7,25100.2
Sep-2000,1309389.4,1324932.8,829445.5,836643.1,479943.9,488289.8,1151067.6,1165697.4,786779.7,793861.3,364287.8,371836.1,158321.9,159235.5,42665.8,42781.8,115656.1,116453.7,448584.6,459836.7,324051.7,321189.4,244444.6,244842.4,97937.6,98316.7,133919.6,133881.5,27635.4,27654.3,14186.1,24952.7
Oct-2000,1307943.9,1310571.8,827926.2,829534.1,480017.7,481037.7,1149635.9,1154974.7,785303.6,788460.1,364332.3,366514.6,158308.0,155597.1,42622.6,41074.0,115685.4,114523.1,445790.9,446113.9,324289.1,321959.1,243304.7,242698.6,97583.5,99826.8,133897.2,133585.0,27655.0,27377.2,14020.9,24710.5
Nov-2000,1306279.6,1303317.6,826133.8,824140.0,480145.8,479177.6,1147765.0,1146147.1,783559.7,781358.4,364205.3,364788.7,158514.6,157170.5,42574.2,42781.5,115940.5,114388.9,443239.1,440990.1,324279.8,326276.8,242387.7,240185.1,97000.5,95871.4,133934.8,133399.2,27785.3,28462.0,13875.7,24431.3
Dec-2000,1304969.9,1300213.7,824294.2,821577.7,480675.7,478636.0,1145851.8,1142076.4,781688.2,779517.4,364163.5,362559.0,159118.2,158137.3,42606.0,42060.3,116512.2,116077.1,441647.1,438131.9,324250.9,323613.6,241990.5,243064.5,96353.4,95119.7,133992.5,134762.7,27994.2,27839.8,13828.0,24201.2
Jan-2001,1304261.7,1307018.2,822586.4,826428.2,481675.3,480590.0,1144114.7,1142817.7,779780.8,780886.4,364333.9,361931.3,160147.0,164200.5,42805.6,45541.8,117341.4,118658.7,441070.3,442247.5,324261.2,324470.2,242094.7,243074.6,95787.6,97680.4,133991.3,133632.6,28223.7,28130.9,13899.5,24053.7
Feb-2001,1304373.5,1306551.5,821385.6,823171.1,482987.8,483380.3,1142746.9,1144788.0,778113.8,779921.8,364633.1,364866.1,161626.5,161763.5,43271.8,43249.3,118354.8,118514.2,441187.8,444138.5,324278.7,324616.2,242564.2,240599.5,95350.3,95933.5,133921.0,134623.1,28405.3,28623.7,14073.6,23998.9
Mar-2001,1305006.9,1301708.9,820772.4,818148.8,484234.6,483560.1,1141551.4,1142160.8,776736.9,774755.6,364814.5,367405.2,163455.5,159548.1,44035.5,43393.2,119420.0,116154.9,441591.1,440196.7,324253.7,323742.6,243126.7,243228.2,95088.2,94339.4,133827.4,134124.9,28472.6,28587.0,14302.5,24019.9
Apr-2001,1305874.7,1303553.4,820827.9,819238.8,485046.8,484314.6,1140418.8,1137859.0,775811.2,774334.4,364607.7,363524.6,165455.9,165694.5,45016.8,44904.4,120439.1,120790.1,441983.4,441640.9,324207.7,323302.4,243502.7,244035.7,94974.4,94632.8,133762.4,132526.2,28400.0,28415.6,14538.9,24058.6
May-2001,1306180.9,1312110.2,821100.4,825644.0,485080.5,486466.1,1138775.1,1144876.8,775021.5,779179.5,363753.7,365697.3,167405.8,167233.3,46078.9,46464.5,121326.9,120768.8,442131.9,443181.7,324339.9,325883.4,243511.8,245873.3,94953.8,95613.8,133753.0,133803.7,28223.8,28368.8,14727.8,24079.5
Jun-2001,1305889.0,1303335.4,821481.3,818761.3,484407.7,484574.1,1136772.2,1134357.0,774419.4,772057.5,362352.8,362299.4,169116.8,168978.4,47061.9,46703.8,122054.9,122274.6,441993.5,440841.8,324637.1,324362.1,243173.4,242761.3,95006.4,94884.3,133836.2,133987.6,28019.0,28002.0,14836.2,24071.9
Jul-2001,1305504.2,1307019.2,822149.4,823169.0,483354.7,483850.2,1135111.3,1134159.1,774342.0,774520.1,360769.2,359639.0,170392.9,172860.1,47807.4,48648.9,122585.5,124211.1,441891.8,443068.2,324967.2,323868.2,242627.8,243033.2,95097.3,95046.0,134014.9,134662.9,27845.6,27672.1,14875.8,24053.9
Aug-2001,1305529.1,1303216.2,823143.9,822287.3,482385.2,480929.0,1134379.9,1132032.1,774924.0,773721.7,359455.9,358310.4,171149.1,171184.1,48219.9,48565.6,122929.2,122618.5,441903.1,441731.0,325256.5,324989.4,242154.8,241064.8,95208.0,95424.3,134233.9,134105.3,27751.0,27365.4,14865.4,24055.2
Sep-2001,1306161.8,1307745.2,824388.3,825676.4,481773.6,482068.8,1134716.6,1136769.9,776070.9,778003.7,358645.8,358766.3,171445.2,170975.3,48317.4,47672.7,123127.8,123302.6,441911.8,442607.0,325283.7,326452.7,242131.3,242183.3,95298.1,95146.7,134410.5,133855.5,27712.9,28522.2,14850.3,24078.7
Oct-2001,1307551.7,1305461.3,825891.2,823589.2,481660.5,481872.1,1136013.6,1133828.5,777646.8,774842.3,358366.8,358986.2,171538.0,171632.8,48244.4,48746.8,123293.6,122885.9,442185.8,439902.8,325031.9,327092.8,242821.0,242011.5,95389.0,95068.9,134512.2,134344.4,27703.8,28081.7,14861.8,24130.1
Nov-2001,1309546.3,1309744.0,827588.6,827931.5,481957.6,481812.5,1137828.2,1138543.8,779414.5,779956.2,358413.8,358587.6,171718.0,171200.1,48174.2,47975.3,123543.9,123224.8,442830.2,443074.4,324732.7,323310.3,244116.5,243698.3,95543.4,97212.5,134588.2,135770.8,27683.9,27684.5,14892.8,24200.5
Dec-2001,1311958.9,1313894.2,829429.3,832090.4,482529.7,481803.8,1139912.1,1142088.2,781257.9,784485.8,358654.2,357602.4,172046.8,171806.0,48171.4,47604.6,123875.5,124201.4,443647.1,445820.1,324561.4,325326.0,245690.4,245662.7,95741.7,95425.7,134662.5,134827.3,27618.2,27562.3,14917.2,24283.3
Jan-2002,1314324.3,1300446.4,831219.0,821056.7,483105.3,479389.8,1141757.4,1128166.7,782969.4,772998.6,358788.0,355168.1,172566.9,172279.7,48249.5,48058.1,124317.3,124221.7,444453.9,441515.8,324664.0,321323.0,247215.1,242962.7,95929.2,95953.8,134724.4,132657.0,27519.2,27470.9,14935.0,24380.2
Feb-2002,1316431.3,1320487.8,832873.1,832102.8,483558.2,488385.0,1143261.7,1146557.7,784501.5,783049.4,358760.2,363508.3,173169.6,173930.1,48371.6,49053.4,124798.0,124876.6,445118.0,446230.0,325082.6,323635.9,248421.2,253991.5,96073.1,95768.4,134771.7,134061.4,27413.6,27256.2,14948.5,24470.4
Mar-2002,1317906.4,1331034.9,834039.6,841439.0,483866.8,489595.9,1144146.3,1155627.3,785539.2,791447.8,358607.1,364179.5,173760.1,175407.7,48500.4,49991.2,125259.7,125416.5,445567.4,449877.9,325596.8,327404.9,249250.1,253532.6,96178.5,96800.6,134797.2,135892.3,27349.8,27957.1,14959.6,24537.8
Apr-2002,1318975.5,1318034.4,834771.9,835212.9,484203.6,482821.5,1144537.0,1143329.4,786077.8,786417.3,358459.2,356912.1,174438.5,174704.9,48694.1,48795.6,125744.4,125909.4,445965.1,440764.2,325927.9,327707.5,249844.3,249607.8,96288.4,96402.2,134898.4,137385.1,27347.0,26908.7,14986.8,24596.0
May-2002,1319817.6,1324564.5,835014.6,839286.5,484803.0,485278.0,1144556.4,1150916.1,786025.4,791118.5,358531.0,359797.7,175261.1,173648.3,48989.1,48168.0,126272.0,125480.3,446391.6,451532.9,325903.7,325268.5,250414.7,249712.3,96438.7,96102.7,135082.4,134657.2,27382.7,27376.0,15034.7,24640.5
Jun-2002,1321098.8,1317707.6,835183.2,832531.6,485915.6,485176.0,1144771.6,1140429.4,785782.9,783147.7,358988.6,357281.7,176327.2,177278.2,49400.2,49383.9,126927.0,127894.3,447017.6,439763.4,325692.5,326759.5,251214.7,251564.2,96617.3,96225.4,135284.0,135784.8,27441.4,27716.3,15114.3,24675.1
Jul-2002,1323186.5,1320647.5,835580.2,834045.0,487606.4,486602.5,1145552.2,1144535.9,785632.2,784401.5,359920.0,360134.4,177634.4,176111.6,49948.0,49643.5,127686.3,126468.1,447722.1,447226.6,325728.8,324051.1,252306.9,250857.9,96779.8,96749.9,135438.2,135023.6,27535.2,27251.5,15202.8,24749.9
Aug-2002,1326504.0,1331565.2,836506.8,835701.8,489997.2,495863.4,1147376.2,1151915.3,785936.3,784568.0,361439.9,367347.3,179127.8,179649.9,50570.5,51133.8,128557.3,128516.1,448419.9,449522.1,326277.2,325054.2,253633.1,254897.8,96986.5,97832.7,135599.0,135745.3,27678.7,28082.3,15275.8,24871.7
Sep-2002,1331147.1,1333739.2,838164.7,839788.7,492982.4,493950.6,1150549.6,1152499.3,787067.8,788503.5,363481.8,363995.8,180597.5,181240.0,51096.8,51285.2,129500.6,129954.8,449135.7,449465.0,327457.6,327685.2,254966.8,254349.7,97301.6,97399.9,135890.3,136970.2,27865.2,27615.2,15312.0,25030.9
Oct-2002,1336632.7,1326640.8,840469.7,836651.8,496163.0,489989.0,1154776.9,1145524.5,789045.5,785561.7,365731.3,359962.8,181855.9,181116.3,51424.2,51090.1,130431.7,130026.2,449738.7,448157.9,329040.4,323114.9,256108.6,256495.5,97785.4,95980.3,136362.3,135136.0,28059.8,27931.5,15300.3,25183.3
Nov-2002,1342039.1,1345419.4,842855.0,847232.6,499184.1,498186.8,1159185.9,1161415.9,791278.8,795056.3,367907.1,366359.6,182853.2,184003.4,51576.2,52176.3,131277.0,131827.2,450307.0,451639.7,330632.9,332093.0,256864.8,257357.6,98409.5,97795.5,136998.0,136556.7,28217.0,28324.8,15263.6,25273.6
Dec-2002,1346483.8,1344691.6,844670.7,843379.6,501813.1,501312.0,1162857.7,1161970.9,793039.7,791821.5,369818.0,370149.4,183626.0,182720.7,51630.9,51558.1,131995.1,131162.6,450819.2,448847.5,331922.2,332896.1,257212.9,257114.4,99157.1,98858.7,137745.9,137561.2,28333.6,28594.1,15217.1,25282.7
Jan-2003,1349339.8,1354338.1,845634.3,846414.3,503705.5,507923.9,1165112.6,1169033.9,793958.8,795119.3,371153.8,373914.6,184227.2,185304.2,51675.5,51294.9,132551.7,134009.3,450938.7,451772.1,332770.9,331590.1,257259.2,262192.6,99921.2,100876.0,138525.6,139345.9,28401.9,28578.3,15166.9,25207.0
Feb-2003,1350846.9,1350498.1,846037.8,846985.4,504809.1,503512.8,1166188.9,1167300.7,794298.2,795965.0,371890.7,371335.8,184658.0,183197.4,51739.6,51020.4,132918.4,132177.0,450530.6,451986.3,333207.0,333143.8,257218.3,256206.7,100594.9,100779.4,139244.8,139894.3,28454.3,28245.8,15110.3,25070.2
Mar-2003,1351250.8,1350000.3,846092.4,846769.7,505158.4,503230.6,1166333.1,1164232.0,794305.4,794215.1,372027.7,370017.0,184917.7,185768.3,51787.0,52554.7,133130.7,133213.6,449772.3,450896.9,333385.9,333590.2,257222.2,257179.8,101040.9,101074.3,139846.8,139219.1,28531.5,28298.6,15051.7,24897.3
Apr-2003,1350823.0,1349603.2,845999.9,842438.6,504823.1,507164.6,1165943.9,1164294.6,794268.9,790482.8,371675.0,373811.9,184879.1,185308.6,51731.0,51955.9,133148.1,133352.7,448834.5,449041.4,333365.7,333660.1,257335.4,256978.0,101156.3,100724.2,140236.4,140158.6,28664.4,28601.4,14968.6,24723.9
May-2003,1349911.4,1344392.7,845944.0,840620.1,503967.4,503772.6,1165311.2,1159594.6,794354.6,789008.0,370956.6,370586.6,184600.2,184798.1,51589.4,51612.1,133010.8,133186.0,447997.8,443948.8,333126.2,332484.6,257664.3,257966.1,100968.1,101471.8,140428.6,139906.2,28877.9,29002.3,14857.6,24584.7
Jun-2003,1349132.4,1349596.5,846191.6,847983.9,502940.8,501612.5,1164902.8,1165494.9,794826.5,796613.8,370076.3,368881.1,184229.6,184101.6,51365.1,51370.2,132864.5,132731.4,447646.4,448067.6,332634.0,333314.9,258239.7,258673.8,100596.5,100343.7,140522.9,141620.5,29124.9,28430.9,14721.5,24495.4
